,appliance,booking_date,booking_time,box_truck,cargo_van,dolly,estimated_distance,estimated_time,fare_quote,final_payment,furniture,helper,hitch,item_desc,item_weight,job_id,large_pickup,max_est,min_est,number_of_pros,real,request_origin,small_pickup,tip,trailer,vehicle_type,vehicle_type_single,time_in_minutes,loading_time,max_time_estimate,min_time_estimate
23,0,2015-10-06 23:57:11,23.16,False,False,0,2.79999995232,9.0,$24.99 - $27.72,24.99,0,False,0,A bag of ants ,50 lbs or less,877,False,27.72,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.18333333333299998,-8.816666666667,39.0,19.0
24,0,2015-10-07 11:59:22,11.16,False,False,0,12.399999618499999,23.0,$32.67 - $42.57,24.99,0,False,0,Test,51-100 lbs,878,False,42.57,32.67,1,24.99,UNKNOWN,True,0.0,0,12,12,0.3,-22.7,53.0,33.0
25,0,2015-10-08 18:00:00,18.16,False,False,0,13.899999618499999,24.0,$33.66 - $43.56,24.99,0,False,0,Desk,50 lbs or less,879,False,43.56,33.66,1,24.99,UNKNOWN,True,0.0,0,12,12,0.0166666666667,-23.9833333333333,54.0,34.0
26,0,2015-10-08 00:00:00,0.16,False,False,0,7.599999904630001,13.0,$32.72 - $42.72,41.58,0,False,0,"Queen size bed frame, 2 lamp tables. ",51-100 lbs,882,False,42.72,32.72,1,41.58,UNKNOWN,True,0.0,0,12,12,42.0,29.0,43.0,23.0
27,0,2015-10-10 21:44:45,21.16,False,False,0,8.89999961853,16.0,$24.99 - $34.65,24.99,0,False,0,tree,50 lbs or less,891,False,34.65,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.06666666666669999,-15.9333333333333,46.0,26.0
28,0,2015-10-14 16:30:22,16.16,False,False,0,3.70000004768,10.0,$24.99 - $29.70,24.99,0,False,0,Whatever,50 lbs or less,911,False,29.7,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.25,-9.75,40.0,20.0
29,0,2015-10-31 16:19:56,16.16,False,True,0,26.6000003815,37.0,$59.34 - $72.24,63.21,0,False,0,Mattress,101-250 lbs,969,False,72.24,59.34,1,63.21,UNKNOWN,False,0.0,0,9,9,48.9,11.899999999999999,67.0,47.0
30,0,2015-11-01 16:30:00,16.18,False,False,0,7.400000095369999,13.0,$24.99 - $32.67,24.99,0,False,0,A dog. This is a test,50 lbs or less,979,False,32.67,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.3,-12.7,43.0,23.0
31,0,2015-11-03 19:33:00,19.18,False,False,0,8.89999961853,15.0,$24.99 - $33.66,24.99,0,False,0,This guy,101-250 lbs,983,False,33.66,24.99,1,24.99,UNKNOWN,True,0.0,0,12,12,0.166666666667,-14.833333333333,45.0,25.0
32,0,2015-11-07 15:00:00,15.18,False,False,0,27.1000003815,32.0,$40.59 - $50.49,34.99,0,False,0,Flat screen tv,50 lbs or less,1003,False,50.49,40.59,1,34.99,UNKNOWN,True,0.0,0,12,12,0.133333333333,-31.866666666667,62.0,42.0
33,0,2015-11-29 11:29:00,11.18,False,False,0,12.899999618499999,18.0,$29.99 - $37.62,76.43,0,False,0,TV,51-100 lbs,1079,False,37.62,29.99,1,76.43,UNKNOWN,True,0.0,0,12,12,57.0,39.0,48.0,28.0
34,0,2015-11-28 18:42:36,18.18,False,False,0,0.5,4.0,$29.99 - $29.99,74.4,0,False,0,GoShare ,251-500 lbs,1081,False,29.99,29.99,1,74.4,UNKNOWN,True,0.0,0,12,12,60.0,56.0,34.0,14.0
35,0,2015-12-05 00:00:00,0.2,False,True,0,1.39999997616,7.0,$34.99 - $44.99,34.99,0,False,0,"Three boxes 
Small box not heavy.
Rectangle box contains a sofa heavier of all three.
Long box contains a mattress not that heavy. ",51-100 lbs,1107,False,44.99,34.99,1,34.99,UNKNOWN,False,0.0,0,9,9,15.15,8.15,37.0,17.0
36,0,2015-12-05 13:00:00,13.2,False,True,0,8.300000190730001,14.0,$39.98 - $48.36,55.3,1,False,0,"1 dresser, 2 night stands, 1 mirror ",101-250 lbs,1108,False,48.36,39.98,1,55.3,UNKNOWN,False,0.0,0,9,9,39.0833333333,25.083333333299997,44.0,24.0
37,0,2015-12-06 12:30:00,12.2,False,False,0,13.699999809300001,21.0,$40.05 - $52.95,49.02,0,False,0,A queen mattress set,101-250 lbs,1109,True,52.95,40.05,1,49.02,UNKNOWN,False,0.0,0,11,11,38.25,17.25,51.0,31.0
38,0,2015-12-10 12:01:00,12.2,False,False,0,15.0,24.0,$33.66 - $43.56,35.64,0,False,0,Dresser,51-100 lbs,1120,False,43.56,33.66,1,35.64,UNKNOWN,True,0.0,0,12,12,36.2833333333,12.2833333333,54.0,34.0
39,0,2015-12-12 10:00:00,10.2,False,False,0,6.400000095369999,17.0,$34.99 - $47.15,36.12,0,False,0,"Mattress, box spring, and frame ",51-100 lbs,1124,True,47.15,34.99,1,36.12,UNKNOWN,False,0.0,0,11,11,27.9833333333,10.9833333333,47.0,27.0
40,0,2015-12-12 14:00:00,14.2,False,False,0,7.0,15.0,$29.99 - $34.90,31.68,0,False,0,Ikea tv ???? storage unit. 3 boxes. ,101-250 lbs,1127,False,34.9,29.99,1,31.68,UNKNOWN,True,0.0,0,12,12,32.0,17.0,45.0,25.0
41,0,2015-12-13 12:30:00,12.2,False,False,0,0.899999976158,6.0,$34.99 - $44.99,85.14,0,False,0,"Mattress, headboard and dresser",51-100 lbs,1130,True,44.99,34.99,1,85.14,UNKNOWN,False,0.0,0,11,11,66.0,60.0,36.0,16.0
42,0,2015-12-19 09:00:00,9.2,False,False,0,0.699999988079,5.0,$34.99 - $44.99,126.42,0,False,0,"We need to haul a sofa and love seat to Salvation Army. Specs are 62""w x 35""l x 30""h and 83""w x 35l x 30""h",251-500 lbs,1145,True,44.99,34.99,1,126.42,UNKNOWN,False,0.0,0,11,11,76.8333333333,71.8333333333,35.0,15.0
43,0,2015-12-19 17:45:00,17.2,False,False,0,5.8000001907300005,12.0,$29.99 - $30.69,29.99,0,False,0,Recliner,51-100 lbs,1146,False,30.69,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,20.85,8.850000000000001,42.0,22.0
44,0,2015-12-19 12:01:12,12.2,False,False,0,0.800000011921,3.0,$34.99 - $44.99,85.14,0,False,0,Couch,51-100 lbs,1148,True,44.99,34.99,1,85.14,UNKNOWN,False,0.0,0,11,11,65.5666666667,62.5666666667,33.0,13.0
45,0,2015-12-19 18:00:55,18.2,False,False,0,2.29999995232,11.0,$29.99 - $39.99,29.99,0,False,0,Box at home depot. 125 pounds. Can help carry. ,101-250 lbs,1150,False,39.99,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,21.1666666667,10.1666666667,41.0,21.0
47,0,2015-12-22 12:24:46,12.2,False,True,0,6.400000095369999,12.0,$34.99 - $39.99,36.12,0,False,0,3 pc sofa set sofa love seat chair,50 lbs or less,1157,False,39.99,34.99,1,36.12,UNKNOWN,False,0.0,0,9,9,28.366666666700002,16.366666666700002,42.0,22.0
48,0,2015-12-23 15:00:00,15.2,False,False,0,6.5,9.0,$29.99 - $39.99,50.49,0,False,0,Ikea Desks (4),101-250 lbs,1158,False,39.99,29.99,1,50.49,UNKNOWN,True,0.0,0,12,12,51.0,42.0,39.0,19.0
49,0,2015-12-24 07:38:55,7.2,False,False,0,2.79999995232,8.0,$34.99 - $44.99,34.99,0,False,0,Cal king mattress,51-100 lbs,1162,True,44.99,34.99,1,34.99,UNKNOWN,False,0.0,0,11,11,12.7333333333,4.733333333299999,38.0,18.0
50,0,2015-12-27 11:30:18,11.2,False,False,0,0.600000023842,3.0,$29.99 - $39.99,29.99,0,False,0,And a bed 6ft,51-100 lbs,1168,False,39.99,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,27.5333333333,24.5333333333,33.0,13.0
51,0,2016-01-03 10:00:00,10.1,False,True,0,3.40000009537,10.0,$34.99 - $38.70,41.28,0,False,0,"Bed,couch and a few other small furniture items. There are stairs at the pickup location. ",251-500 lbs,1170,False,38.7,34.99,1,41.28,UNKNOWN,False,0.0,0,9,9,31.616666666700002,21.616666666700002,40.0,20.0
52,0,2015-12-28 15:30:00,15.2,False,False,0,23.7000007629,31.0,$40.92 - $50.82,63.36,0,False,0,Queen size mattress and box spring and a night stand,51-100 lbs,1171,False,50.82,40.92,1,63.36,UNKNOWN,True,0.0,0,12,12,39.5166666667,8.516666666699997,61.0,41.0
53,0,2016-01-01 13:00:00,13.1,False,True,0,14.199999809300001,42.0,$67.27 - $80.17,108.4,0,False,0,"6 suitcases
4 Boxes
1 chair

I need to move from Brooklyn to Jersey City.
I need a van with driver and it should allow 2 people to ride along with the van to make sure we are taking care of loading/un",251-500 lbs,1172,False,80.17,67.27,1,108.4,UNKNOWN,False,0.0,0,9,9,60.2833333333,18.2833333333,72.0,52.0
54,0,2015-12-29 00:00:00,0.2,False,False,1,1.10000002384,7.0,$34.98 - $44.98,61.42,0,False,0,Two whiteboards about 125-150 lbs each. I can assist with moving them. ,101-250 lbs,1173,False,44.98,34.98,1,61.42,UNKNOWN,True,0.0,0,12,12,56.7333333333,49.7333333333,37.0,17.0
55,0,2016-01-01 09:30:00,9.1,False,False,0,1.20000004768,6.0,$29.99 - $39.99,46.53,0,False,0,"Bookcase, 6 medium size boxes, chair, 3 drawer of chest",51-100 lbs,1177,False,39.99,29.99,1,46.53,UNKNOWN,True,0.0,0,12,12,46.35,40.35,36.0,16.0
56,0,2016-01-03 14:39:07,14.1,False,False,0,6.599999904630001,14.0,$34.99 - $43.86,122.55,0,False,0,"Dining room table (disassembled in box) entertainment center thing, mattress, ",251-500 lbs,1190,True,43.86,34.99,1,122.55,UNKNOWN,False,0.0,0,11,11,0.0166666666667,-13.9833333333333,44.0,24.0
57,0,2016-01-07 18:45:00,18.1,False,True,0,0.600000023842,4.0,$34.99 - $44.99,34.99,0,False,0,A couch and a love seat. Generic size,101-250 lbs,1198,False,44.99,34.99,1,34.99,UNKNOWN,False,0.0,0,9,9,1.05,-2.95,34.0,14.0
58,0,2016-01-06 13:45:00,13.1,False,False,0,13.100000381500001,23.0,$32.67 - $42.57,52.47,0,False,0,Queen size bed - frame ,50 lbs or less,1199,False,42.57,32.67,1,52.47,UNKNOWN,True,0.0,0,12,12,52.85,29.85,53.0,33.0
59,0,2016-01-09 16:00:00,16.1,False,True,0,0.600000023842,3.0,$34.99 - $44.99,41.28,0,False,0,"Mattress, 2 speakers, 1 large wardrobe box, 3 small boxes, 1 guitar","501-1,000 lbs",1205,False,44.99,34.99,1,41.28,UNKNOWN,False,0.0,0,9,9,31.8166666667,28.8166666667,33.0,13.0
60,0,2016-01-09 11:00:00,11.1,False,True,0,5.1999998092699995,13.0,$34.99 - $41.28,38.7,0,False,0,couch ,51-100 lbs,1208,False,41.28,34.99,1,38.7,UNKNOWN,False,0.0,0,9,9,29.8333333333,16.8333333333,43.0,23.0
61,0,2016-01-08 18:45:00,18.1,False,False,0,11.300000190699999,19.0,$29.99 - $37.62,36.63,0,False,0,Queen size mattress ,50 lbs or less,1210,False,37.62,29.99,1,36.63,UNKNOWN,True,0.0,0,12,12,37.2333333333,18.233333333300003,49.0,29.0
62,0,2016-01-09 15:00:00,15.1,False,False,0,11.100000381500001,20.0,$29.99 - $39.20,29.99,0,False,0," 36"" x 18"" x 72""\",51-100 lbs,1211,False,39.2,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,20.4333333333,0.43333333329999846,50.0,30.0
63,0,2016-01-12 11:30:00,11.1,False,True,0,51.2999992371,57.0,$87.03 - $99.93,119.97,0,False,0,Only the piece (server) on the far right in the picture against the wall with the stone top. It is currently in a storage unit.,101-250 lbs,1214,False,99.93,87.03,1,119.97,UNKNOWN,False,0.0,0,9,9,93.4833333333,36.483333333299996,87.0,67.0
64,0,2016-01-11 18:30:00,18.1,False,True,0,15.100000381500001,24.0,$42.57 - $55.47,58.05,0,False,0,Picking up from bob's discount furniture. Delivering to a first floor apartment only 4 outside steps ,251-500 lbs,1216,False,55.47,42.57,1,58.05,UNKNOWN,False,0.0,0,9,9,45.3833333333,21.3833333333,54.0,34.0
65,0,2016-01-15 13:30:00,13.1,False,True,0,0.899999976158,6.0,$34.99 - $44.99,94.17,0,False,0,"Sofa - sectional  2parts
lamp (1) 
Side table (1) light
Small table (1) light ",101-250 lbs,1225,False,44.99,34.99,1,94.17,UNKNOWN,False,0.0,0,9,9,72.6,66.6,36.0,16.0
66,0,2016-01-13 11:30:00,11.1,False,False,0,1.7999999523199999,5.0,$34.99 - $44.99,37.41,0,False,0,First floor pickup second floor dropoff sofa,101-250 lbs,1227,True,44.99,34.99,1,37.41,UNKNOWN,False,0.0,0,11,11,29.4166666667,24.4166666667,35.0,15.0
67,0,2016-01-16 11:00:00,11.1,False,False,0,19.0,26.0,$34.65 - $44.55,57.42,0,False,0,2 piece sofa ground level to underground parking and up in elevator to 2 nd floor,51-100 lbs,1235,False,44.55,34.65,1,57.42,UNKNOWN,True,0.0,0,12,12,58.4666666667,32.4666666667,56.0,36.0
68,0,2016-01-16 14:00:00,14.1,False,False,0,18.0,22.0,$41.32 - $54.22,34.99,0,False,0,Mid century desk with two draw ers...,51-100 lbs,1240,True,54.22,41.32,1,34.99,UNKNOWN,False,0.0,0,11,11,24.366666666700002,2.3666666667000023,52.0,32.0
69,0,2016-01-16 16:01:00,16.1,False,False,0,15.899999618499999,26.0,$34.65 - $44.55,39.6,0,False,0,"Ikea dresser, desk, chair, night stand, bookshelf",251-500 lbs,1242,False,44.55,34.65,1,39.6,UNKNOWN,True,0.0,0,12,12,40.4166666667,14.416666666700003,56.0,36.0
70,0,2016-01-17 10:00:00,10.1,False,False,0,6.599999904630001,17.0,$29.99 - $35.64,29.99,0,False,0,Fridge,101-250 lbs,1243,False,35.64,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,25.25,8.25,47.0,27.0
71,0,2016-01-16 16:15:00,16.1,False,False,0,5.3000001907300005,16.0,$29.99 - $34.65,37.62,0,False,0,queen mattress and box spring ,51-100 lbs,1244,False,34.65,29.99,1,37.62,UNKNOWN,True,0.0,0,12,12,38.4166666667,22.416666666700003,46.0,26.0
72,0,2016-01-17 09:02:41,9.1,False,False,0,13.399999618499999,20.0,$37.41 - $50.31,34.99,0,False,0,6 foot 7 inches by 3 foot couch,51-100 lbs,1245,True,50.31,37.41,1,34.99,UNKNOWN,False,0.0,0,11,11,24.6833333333,4.6833333332999985,50.0,30.0
73,0,2016-01-17 15:30:00,15.1,False,False,0,0.699999988079,3.0,$34.99 - $44.99,52.89,0,False,0,"Ping pong table, bbq, rain barrel, two chairs, 3 potted plants, mirror, couple random boxes. This is not accurate pic. Items are at other house","501-1,000 lbs",1246,True,44.99,34.99,1,52.89,UNKNOWN,False,0.0,0,11,11,41.4833333333,38.4833333333,33.0,13.0
74,0,2016-01-17 13:36:22,13.1,False,False,0,0.300000011921,2.0,$29.99 - $39.99,29.99,0,False,0,"Small move of 3 medium boxes, tv, monitor and a few bags.   Should be quick; just too much to walk over on my own. ",251-500 lbs,1247,False,39.99,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,20.3333333333,18.3333333333,32.0,12.0
75,0,2016-01-18 12:00:00,12.1,False,True,0,1.60000002384,9.0,$34.99 - $37.26,72.24,0,False,0,"I'm moving 1 Queen platform bed frame (ikea) 1, 5 drawer dresser, and 1 small storage cube 40 inches wide by 15 inches deep. It's a 1st fl pickup and a 3rd fl delivery.",101-250 lbs,1250,False,37.26,34.99,1,72.24,UNKNOWN,False,0.0,0,9,9,55.8333333333,46.8333333333,39.0,19.0
76,0,2016-01-18 11:00:00,11.1,False,False,0,13.5,18.0,$36.12 - $49.02,42.57,0,False,0,"2 new doors, 30 x 80. One looks exactly like the photo. The other is an interior door",50 lbs or less,1251,True,49.02,36.12,1,42.57,UNKNOWN,False,0.0,0,11,11,32.65,14.649999999999999,48.0,28.0
77,0,2016-01-18 15:00:00,15.1,False,True,0,6.5,13.0,$34.99 - $42.57,47.73,0,False,0,This is a couch with a chaise. The lounger comes in one box. the love seat is separate and already unpacked. Need help carrying it into elevator at apartment. ,251-500 lbs,1252,False,42.57,34.99,1,47.73,UNKNOWN,False,0.0,0,9,9,35.2833333333,22.2833333333,43.0,23.0
78,0,2016-01-20 10:30:00,10.1,False,False,0,10.3999996185,16.0,$39.98 - $51.06,101.74,1,False,0,oval 6 seat conference table that comes apart. Top is removeable from base for ease of moving. None of the chairs are being moved ONLY the table. This move is in conjuction with moving a roll top desk,101-250 lbs,1254,True,51.06,39.98,1,101.74,UNKNOWN,False,0.0,0,11,11,74.9,58.900000000000006,46.0,26.0
79,0,2016-01-21 10:00:00,10.1,False,True,0,19.7999992371,31.0,$58.18 - $71.08,73.36,1,False,0,1 leather sofa,101-250 lbs,1256,False,71.08,58.18,1,73.36,UNKNOWN,False,0.0,0,9,9,53.2166666667,22.2166666667,61.0,41.0
80,0,2016-01-20 11:30:00,11.1,False,False,0,1.20000004768,7.0,$29.99 - $39.99,44.55,0,False,0,Table and chairs,51-100 lbs,1257,False,39.99,29.99,1,44.55,UNKNOWN,True,0.0,0,12,12,45.0,38.0,37.0,17.0
81,0,2016-01-20 19:00:00,19.1,False,False,0,9.0,17.0,$34.99 - $46.44,49.02,0,False,0,"Pick up a high boy dresser (40""h x 35""w), two night stands, low dresser and headboard. We will have our Jeep and could fit the night stands in ours. ",251-500 lbs,1258,True,46.44,34.99,1,49.02,UNKNOWN,False,0.0,0,11,11,37.9,20.9,47.0,27.0
82,0,2016-01-24 16:00:00,16.1,False,True,1,1.20000004768,4.0,$44.97 - $54.97,109.2,1,False,0,Animal Rescue items food beds cages Lisa from 5 by 10 storage unit,"501-1,000 lbs",1260,False,54.97,44.97,1,109.2,UNKNOWN,False,0.0,0,9,9,47.4833333333,43.4833333333,34.0,14.0
83,0,2016-01-22 13:00:00,13.1,False,False,0,13.0,22.0,$31.68 - $41.58,38.61,0,False,0,Massage lounger manual says it is 170 pounds. Will need driver to assist with loading chair in truck and putting on first floor of my house. Chair has wheels,101-250 lbs,1262,False,41.58,31.68,1,38.61,UNKNOWN,True,0.0,0,12,12,39.2,17.200000000000003,52.0,32.0
84,0,2016-01-23 13:00:00,13.1,False,False,0,18.1000003815,25.0,$33.66 - $43.56,75.24,0,False,0,It's just boxes in one indoor storage shed going to another cage storage in underground parking. No stairs either location,51-100 lbs,1264,False,43.56,33.66,1,75.24,UNKNOWN,True,0.0,0,12,12,76.3333333333,51.333333333300004,55.0,35.0
85,0,2016-01-22 07:30:00,7.1,False,False,0,14.100000381500001,23.0,$32.72 - $42.62,29.99,0,False,0,Store pickup from front customer service desk. The space heater is already paid for and simply requires pickup. Can fit in any seat (not large). This heater is 32 lbs.,50 lbs or less,1265,False,42.62,32.72,1,29.99,UNKNOWN,True,0.0,0,12,12,27.0166666667,4.016666666700001,53.0,33.0
86,0,2016-01-22 13:00:00,13.1,False,False,0,12.899999618499999,30.0,$40.08 - $49.98,37.62,0,False,0,Cocktail table,50 lbs or less,1266,False,49.98,40.08,1,37.62,UNKNOWN,True,0.0,0,12,12,38.0333333333,8.0333333333,60.0,40.0
87,0,2016-01-23 08:30:00,8.1,False,True,0,5.400000095369999,10.0,$34.99 - $39.26,50.31,0,False,0,Bed Frame and Mattress,51-100 lbs,1267,False,39.26,34.99,1,50.31,UNKNOWN,False,0.0,0,9,9,38.8833333333,28.8833333333,40.0,20.0
88,0,2016-01-23 14:00:00,14.1,False,False,0,22.2999992371,28.0,$37.62 - $47.52,37.62,0,False,0,Armless chair. Pick up from urban fusion decor located at 145 Washington street (would not allow me to enter this address.,50 lbs or less,1268,False,47.52,37.62,1,37.62,UNKNOWN,True,0.0,0,12,12,34.8833333333,6.883333333300001,58.0,38.0
89,0,2016-01-22 16:00:00,16.1,False,False,0,24.1000003815,33.0,$42.36 - $52.26,52.47,0,False,0,"Table and six chairs in 4 boxes from Costco. Table box is 65"" X 42""X 8""
3 boxes containing 2 chairs each measure 42 X 21 X 13
",101-250 lbs,1270,False,52.26,42.36,1,52.47,UNKNOWN,True,0.0,0,12,12,50.5166666667,17.516666666699997,63.0,43.0
90,0,2016-01-22 16:19:13,16.1,False,False,0,4.1999998092699995,11.0,$29.99 - $30.69,39.6,0,False,0,Full mattress ,50 lbs or less,1272,False,30.69,29.99,1,39.6,UNKNOWN,True,0.0,0,12,12,40.05,29.049999999999997,41.0,21.0
91,0,2016-01-24 12:30:00,12.1,False,False,0,0.699999988079,3.0,$34.99 - $44.99,67.08,0,False,0,We have a 72x48x40 dinning table and 62x20x48,101-250 lbs,1277,True,44.99,34.99,1,67.08,UNKNOWN,False,0.0,0,11,11,52.4666666667,49.4666666667,33.0,13.0
92,0,2016-01-24 18:47:30,18.1,False,True,0,7.0,35.0,$58.05 - $70.95,86.43,0,False,0,Approximately 15 boxes . Few furnitures ,51-100 lbs,1281,False,70.95,58.05,1,86.43,UNKNOWN,False,0.0,0,9,9,67.35,32.349999999999994,65.0,45.0
93,0,2016-01-26 14:19:10,14.1,False,True,0,3.20000004768,12.0,$34.99 - $39.99,34.99,0,False,0,Long couch let me know if not fit 6196099200,50 lbs or less,1284,False,39.99,34.99,1,34.99,UNKNOWN,False,0.0,0,9,9,24.1,12.100000000000001,42.0,22.0
94,0,2016-01-30 12:45:00,12.1,False,False,0,23.3999996185,30.0,$51.60 - $64.50,92.88,0,False,0,102 inches x 44.5 inches,51-100 lbs,1285,True,64.5,51.6,1,92.88,UNKNOWN,False,0.0,0,11,11,72.0,42.0,60.0,40.0
95,0,2016-01-28 12:00:00,12.1,False,False,0,33.9000015259,38.0,$47.73 - $57.63,108.9,0,False,0,"queen mattress, box spring and rails",50 lbs or less,1286,False,57.63,47.73,1,108.9,UNKNOWN,True,0.0,0,12,12,2.95,-35.05,68.0,48.0
96,0,2016-01-28 15:00:00,15.1,False,False,0,6.0,10.0,$34.98 - $44.98,48.55,1,False,0,"In addition to the items in the picture I have one tall dresser. All are fairly heavy , but I'm unsure of the weight .

Can you send me a quote for a extra set of hands?
Also, do you have furniture co",251-500 lbs,1287,False,44.98,34.98,1,48.55,UNKNOWN,True,0.0,0,12,12,43.95,33.95,40.0,20.0
97,0,2016-01-28 11:00:00,11.1,False,False,0,6.400000095369999,11.0,$29.99 - $30.89,29.99,0,False,0,"Canvas picture 60"" x 47""",50 lbs or less,1288,False,30.89,29.99,1,29.99,UNKNOWN,True,0.0,0,12,12,25.7166666667,14.7166666667,41.0,21.0
98,0,2016-01-29 15:00:00,15.1,False,True,0,7.0,13.0,$34.99 - $42.40,56.76,0,False,0,"Queen size bed, mattress and boxspring ",51-100 lbs,1296,False,42.4,34.99,1,56.76,UNKNOWN,False,0.0,0,9,9,43.7833333333,30.7833333333,43.0,23.0
99,0,2016-01-30 11:30:00,11.1,False,True,0,7.900000095369999,19.0,$36.12 - $49.02,56.76,0,False,0,couch.  chair,50 lbs or less,1299,False,49.02,36.12,1,56.76,UNKNOWN,False,0.0,0,9,9,43.8666666667,24.8666666667,49.0,29.0
100,0,2016-01-31 11:00:00,11.1,False,False,1,0.899999976158,5.0,$34.98 - $44.98,67.36,0,False,0,"The contents of a single bedroom.
Two shelves: one as pictured in the supplied image, and one of the same height but smaller width. 
Five (plus or minus one or two) medium sized moving boxes, and a si",50 lbs or less,1301,False,44.98,34.98,1,67.36,UNKNOWN,True,0.0,0,12,12,62.7333333333,57.7333333333,35.0,15.0
101,0,2016-01-29 19:48:35,19.1,False,True,0,0.800000011921,4.0,$34.99 - $44.99,41.28,0,False,0,"The items included is a queen size bed , a child twin size mattress & 3 tote boxes identical to the one in the picture.I will also help you move the items",51-100 lbs,1302,False,44.99,34.99,1,41.28,UNKNOWN,False,0.0,0,9,9,31.9666666667,27.9666666667,34.0,14.0
102,0,2016-01-31 12:00:00,12.1,False,True,0,1.10000002384,8.0,$34.99 - $36.64,34.99,0,False,0,"I am shifting my home from current location to tuers avenue in Jersey city on Jan 31 st. I have 2 big travel bags and around 10 boxes of household items which includes dresses, Kitchen utensils to be ",251-500 lbs,1303,False,36.64,34.99,1,34.99,UNKNOWN,False,0.0,0,9,9,14.0,6.0,38.0,18.0
103,0,2016-01-30 13:50:20,13.1,False,False,0,10.3000001907,15.0,$34.99 - $43.86,106.66,0,False,0,Kids toys needs to be drop off at dump,50 lbs or less,1305,True,43.86,34.99,1,106.66,UNKNOWN,False,0.0,0,11,11,53.1166666667,38.1166666667,45.0,25.0
105,0,2016-02-01 12:00:00,12.3,False,False,0,9.800000190730001,16.0,$34.98 - $40.14,38.65,1,False,0,Large mid-century wooden desk.,101-250 lbs,1311,False,40.14,34.98,1,38.65,UNKNOWN,True,0.0,0,12,12,33.5166666667,17.516666666699997,46.0,26.0
